city,country,hash_user_id,ip,page,session_id,state,timestamp,user_id,useragent
,unknown,09ff266d06a23484a00bfe6318caff33,127.0.0.1,/10300/reviews/,d1bc9269a6d00e2f79d99670abd508a7,,20170120171204,a87ff679a2f3e71d9181a67b7542122c,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,09ff266d06a23484a00bfe6318caff33,127.0.0.1,/10300/reviews/,d1bc9269a6d00e2f79d99670abd508a7,,20170120171206,a87ff679a2f3e71d9181a67b7542122c,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,09ff266d06a23484a00bfe6318caff33,127.0.0.1,/10300/reviews/,d1bc9269a6d00e2f79d99670abd508a7,,20170120171207,a87ff679a2f3e71d9181a67b7542122c,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,09ff266d06a23484a00bfe6318caff33,127.0.0.1,/10300/reviews/,d1bc9269a6d00e2f79d99670abd508a7,,20170120171207,a87ff679a2f3e71d9181a67b7542122c,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,09ff266d06a23484a00bfe6318caff33,127.0.0.1,/10300/reviews/,d1bc9269a6d00e2f79d99670abd508a7,,20170120171207,a87ff679a2f3e71d9181a67b7542122c,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,43f74691f1db2566ab537641df066dce,127.0.0.1,/10300/reviews/,49ed3ae99c924243557f53e0b74d7f0d,,20170120175725,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,43f74691f1db2566ab537641df066dce,127.0.0.1,/10300/reviews/,49ed3ae99c924243557f53e0b74d7f0d,,20170120175726,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,43f74691f1db2566ab537641df066dce,127.0.0.1,/10300/reviews/,49ed3ae99c924243557f53e0b74d7f0d,,20170120175726,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,43f74691f1db2566ab537641df066dce,127.0.0.1,/10300/reviews/,49ed3ae99c924243557f53e0b74d7f0d,,20170120175726,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,43f74691f1db2566ab537641df066dce,127.0.0.1,/10300/reviews/,49ed3ae99c924243557f53e0b74d7f0d,,20170120184616,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,43f74691f1db2566ab537641df066dce,127.0.0.1,/10300/reviews/,49ed3ae99c924243557f53e0b74d7f0d,,20170120184624,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,43f74691f1db2566ab537641df066dce,127.0.0.1,/10300/reviews/,49ed3ae99c924243557f53e0b74d7f0d,,20170120184628,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,43f74691f1db2566ab537641df066dce,127.0.0.1,/10300/reviews/,49ed3ae99c924243557f53e0b74d7f0d,,20170120184631,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,43f74691f1db2566ab537641df066dce,127.0.0.1,/10300/reviews/,49ed3ae99c924243557f53e0b74d7f0d,,20170120184631,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,43f74691f1db2566ab537641df066dce,127.0.0.1,/10300/reviews/,49ed3ae99c924243557f53e0b74d7f0d,,20170120184631,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,43f74691f1db2566ab537641df066dce,127.0.0.1,/10300/reviews/,49ed3ae99c924243557f53e0b74d7f0d,,20170120184632,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,43f74691f1db2566ab537641df066dce,127.0.0.1,/10300/reviews/,49ed3ae99c924243557f53e0b74d7f0d,,20170120184637,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,43f74691f1db2566ab537641df066dce,127.0.0.1,/10300/reviews/,49ed3ae99c924243557f53e0b74d7f0d,,20170120184638,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,43f74691f1db2566ab537641df066dce,127.0.0.1,/10300/reviews/,49ed3ae99c924243557f53e0b74d7f0d,,20170120184803,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,43f74691f1db2566ab537641df066dce,127.0.0.1,/10300/reviews/,49ed3ae99c924243557f53e0b74d7f0d,,20170120184806,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,43f74691f1db2566ab537641df066dce,127.0.0.1,/10300/reviews/,49ed3ae99c924243557f53e0b74d7f0d,,20170120184806,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,43f74691f1db2566ab537641df066dce,127.0.0.1,/10300/reviews/,49ed3ae99c924243557f53e0b74d7f0d,,20170120184806,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,43f74691f1db2566ab537641df066dce,127.0.0.1,/10300/reviews/,49ed3ae99c924243557f53e0b74d7f0d,,20170120184807,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,43f74691f1db2566ab537641df066dce,127.0.0.1,/10300/reviews/,49ed3ae99c924243557f53e0b74d7f0d,,20170120184807,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,43f74691f1db2566ab537641df066dce,127.0.0.1,/10300/reviews/,49ed3ae99c924243557f53e0b74d7f0d,,20170120184808,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,43f74691f1db2566ab537641df066dce,127.0.0.1,/10300/reviews/,49ed3ae99c924243557f53e0b74d7f0d,,20170120184808,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,43f74691f1db2566ab537641df066dce,127.0.0.1,/10300/reviews/,49ed3ae99c924243557f53e0b74d7f0d,,20170120184808,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
