city,country,hash_user_id,ip,page,session_id,state,timestamp,user_id,useragent
,unknown,13739c4dca01d90017c827f87329c491,127.0.0.1,/10300/,62b218e2ae9ea3406035bbf1dff71985,,20170128131821,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,13739c4dca01d90017c827f87329c491,127.0.0.1,/10300/profile/login.php,62b218e2ae9ea3406035bbf1dff71985,,20170128131838,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,13739c4dca01d90017c827f87329c491,127.0.0.1,/10300/profile/index.php,62b218e2ae9ea3406035bbf1dff71985,,20170128131853,c4ca4238a0b923820dcc509a6f75849b,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,13739c4dca01d90017c827f87329c491,127.0.0.1,/10300/,cd102ee4e8de077e0e3f25bd76ce7c1f,,20170128131931,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,13739c4dca01d90017c827f87329c491,127.0.0.1,/10300/,cd102ee4e8de077e0e3f25bd76ce7c1f,,20170128131933,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,13739c4dca01d90017c827f87329c491,127.0.0.1,/10300/profile/login.php,cd102ee4e8de077e0e3f25bd76ce7c1f,,20170128131936,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,13739c4dca01d90017c827f87329c491,127.0.0.1,/10300/profile/index.php,cd102ee4e8de077e0e3f25bd76ce7c1f,,20170128131945,c4ca4238a0b923820dcc509a6f75849b,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,13739c4dca01d90017c827f87329c491,127.0.0.1,/10300/,437195dfd251f87eb849c9cf45b9c4c2,,20170128131951,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,13739c4dca01d90017c827f87329c491,127.0.0.1,/10300/profile/login.php,437195dfd251f87eb849c9cf45b9c4c2,,20170128131958,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,13739c4dca01d90017c827f87329c491,127.0.0.1,/10300/profile/index.php,437195dfd251f87eb849c9cf45b9c4c2,,20170128132007,e4da3b7fbbce2345d7772b0674a318d5,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,13739c4dca01d90017c827f87329c491,127.0.0.1,/10300/,93f8d28228aa04707d740bab4ed04419,,20170128132026,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,13739c4dca01d90017c827f87329c491,127.0.0.1,/10300/profile/login.php,93f8d28228aa04707d740bab4ed04419,,20170128132029,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
,unknown,13739c4dca01d90017c827f87329c491,127.0.0.1,/10300/profile/index.php,93f8d28228aa04707d740bab4ed04419,,20170128133926,c4ca4238a0b923820dcc509a6f75849b,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
